epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.376,2.00448,3.75149,1.76861,0.26526,0.27905,0.2127,0.07329,1.49518,23.8764,1.47645,0.000551326,0.000551326,0.000551326
2,37.0208,1.99265,2.92884,1.77175,0.1612,0.28123,0.1506,0.04732,1.49167,18.6596,1.55552,0.00108507,0.00108507,0.00108507
3,52.9969,2.01717,2.67153,1.7732,0.18756,0.18893,0.13431,0.04669,1.59149,8.53772,1.47546,0.00159682,0.00159682,0.00159682
4,69.3238,2.0129,2.59733,1.85835,0.41256,0.30907,0.25956,0.09368,1.55194,7.58482,1.55035,0.00156798,0.00156798,0.00156798
5,85.113,1.9617,2.31557,1.74316,0.24737,0.35142,0.24777,0.08314,1.51382,2.6917,1.43433,0.00153497,0.00153497,0.00153497
6,101.354,1.88527,2.23541,1.71599,0.33797,0.35499,0.25695,0.09733,1.48076,3.16694,1.4245,0.00150197,0.00150197,0.00150197
7,117.391,1.89107,2.1641,1.69285,0.38389,0.36462,0.26195,0.09946,1.39871,3.25444,1.39535,0.00146896,0.00146896,0.00146896
8,133.419,1.88181,2.11882,1.7173,0.34302,0.42649,0.28547,0.11746,1.37946,1.67769,1.38252,0.00143595,0.00143595,0.00143595
9,149.418,1.82131,2.02574,1.6605,0.32792,0.44,0.30686,0.11502,1.37135,2.91808,1.35767,0.00140295,0.00140295,0.00140295
10,165.99,1.80319,1.97728,1.6685,0.32231,0.38397,0.30897,0.12563,1.28603,2.62806,1.2953,0.00136994,0.00136994,0.00136994
11,181.758,1.75656,1.88041,1.63024,0.30073,0.41395,0.30402,0.12285,1.34436,1.59226,1.29255,0.00133693,0.00133693,0.00133693
12,197.562,1.74085,1.89795,1.63037,0.4404,0.46233,0.39586,0.17211,1.28653,1.50668,1.29611,0.00130393,0.00130393,0.00130393
13,213.433,1.72456,1.9126,1.61959,0.39993,0.52914,0.41479,0.1759,1.25127,1.54459,1.26189,0.00127092,0.00127092,0.00127092
14,229.17,1.69165,1.81795,1.5749,0.45827,0.44142,0.37653,0.15212,1.32123,1.49202,1.28361,0.00123791,0.00123791,0.00123791
15,245.06,1.66583,1.76813,1.55035,0.49509,0.38676,0.4491,0.20103,1.27532,2.28527,1.26861,0.00120491,0.00120491,0.00120491
16,260.618,1.69673,1.79099,1.55387,0.42589,0.43357,0.37473,0.15116,1.32256,1.51402,1.2777,0.0011719,0.0011719,0.0011719
17,276.283,1.64161,1.7227,1.51381,0.5844,0.44341,0.43441,0.18531,1.26335,1.52201,1.2702,0.00113889,0.00113889,0.00113889
18,291.925,1.64693,1.76669,1.52496,0.50555,0.46183,0.45231,0.1849,1.26461,1.36503,1.26482,0.00110589,0.00110589,0.00110589
19,307.562,1.61743,1.69074,1.5497,0.45825,0.43824,0.37841,0.17587,1.27027,2.09642,1.29581,0.00107288,0.00107288,0.00107288
20,323.687,1.62764,1.69817,1.52583,0.47409,0.48191,0.38184,0.16588,1.26379,1.28619,1.25135,0.00103987,0.00103987,0.00103987
21,339.39,1.56536,1.65996,1.47879,0.51443,0.46915,0.43877,0.18745,1.26285,1.28032,1.24737,0.00100687,0.00100687,0.00100687
22,354.932,1.61349,1.66045,1.51256,0.54342,0.46767,0.45153,0.20325,1.25481,1.2433,1.25869,0.000973861,0.000973861,0.000973861
23,371.15,1.57076,1.63646,1.4846,0.45941,0.45747,0.41233,0.17766,1.24691,1.41989,1.25184,0.000940855,0.000940855,0.000940855
24,386.965,1.58277,1.63439,1.48607,0.53965,0.45313,0.47517,0.20775,1.22427,1.23926,1.23784,0.000907848,0.000907848,0.000907848
25,402.611,1.51794,1.5513,1.45495,0.5357,0.46806,0.47596,0.21804,1.24903,1.22376,1.26708,0.000874842,0.000874842,0.000874842
26,418.39,1.50647,1.57031,1.45896,0.51266,0.4729,0.46166,0.20028,1.21374,1.68107,1.23567,0.000841835,0.000841835,0.000841835
27,434.482,1.52491,1.60547,1.46411,0.54423,0.4632,0.46565,0.20125,1.27077,1.31843,1.2487,0.000808828,0.000808828,0.000808828
28,450.752,1.506,1.52405,1.42406,0.58785,0.46256,0.47037,0.19835,1.2617,1.21396,1.24777,0.000775822,0.000775822,0.000775822
29,466.422,1.47729,1.51796,1.40275,0.51433,0.47256,0.4585,0.20317,1.24001,1.39017,1.23718,0.000742815,0.000742815,0.000742815
30,481.969,1.48446,1.53387,1.44155,0.51844,0.45223,0.41932,0.19647,1.24403,1.23212,1.23827,0.000709809,0.000709809,0.000709809
31,497.684,1.43851,1.46762,1.41018,0.54863,0.47499,0.44718,0.20399,1.23302,1.19225,1.2515,0.000676802,0.000676802,0.000676802
32,513.527,1.45995,1.49597,1.42494,0.51204,0.47057,0.45797,0.21632,1.20081,1.19695,1.22811,0.000643795,0.000643795,0.000643795
33,529.271,1.44197,1.42116,1.40506,0.57659,0.41489,0.46823,0.20836,1.22651,1.1838,1.23302,0.000610789,0.000610789,0.000610789
